mode,drones_n,visits_n,seconds,cpu_n,platform,forced_paths
solve,3,6,0.154,4,Darwin,0
solve,3,6,0.132,4,Darwin,0
solve,3,6,0.12,4,Darwin,0
solve,3,6,0.124,4,Darwin,0
solve,3,6,0.146,4,Darwin,0
solve,3,6,0.146,4,Darwin,0
solve,1,1,0.039,4,Darwin,0
solve,1,1,0.019,4,Darwin,0
solve,1,1,0.016,4,Darwin,0
solve,1,1,0.023,4,Darwin,0
solve,1,2,0.033,4,Darwin,0
solve,1,3,0.035,4,Darwin,0
solve,2,3,0.087,4,Darwin,0
solve,1,2,0.03,4,Darwin,0
solve,1,3,0.026,4,Darwin,0
solve,2,3,0.035,4,Darwin,0
solve,1,2,0.026,4,Darwin,0
solve,1,3,0.034,4,Darwin,0
solve,2,3,0.043,4,Darwin,0
solve,1,2,0.029,4,Darwin,0
solve,1,3,0.032,4,Darwin,0
solve,2,3,0.038,4,Darwin,0
solve,1,2,0.029,4,Darwin,0
solve,1,3,0.027,4,Darwin,0
solve,2,3,0.04,4,Darwin,0
solve,1,2,0.029,4,Darwin,0
solve,1,3,0.03,4,Darwin,0
solve,2,3,0.034,4,Darwin,0
solve,1,4,0.04,4,Darwin,0
solve,2,4,0.045,4,Darwin,0
solve,3,4,0.034,4,Darwin,0
solve,1,2,0.026,4,Darwin,0
solve,1,3,0.027,4,Darwin,0
solve,2,3,0.043,4,Darwin,0
solve,1,4,0.095,4,Darwin,0
solve,2,4,0.04,4,Darwin,0
solve,3,4,0.039,4,Darwin,0
solve,1,1,0.02,4,Darwin,0
solve,1,1,0.026,4,Darwin,0
solve,1,2,0.019,4,Darwin,0
solve,2,2,0.027,4,Darwin,0
solve,1,3,0.039,4,Darwin,0
solve,2,3,0.082,4,Darwin,0
solve,3,3,0.031,4,Darwin,0
solve,1,4,0.05,4,Darwin,0
solve,2,4,0.042,4,Darwin,0
solve,3,4,0.044,4,Darwin,0
solve,4,4,0.036,4,Darwin,0
solve,1,1,0.06,4,Darwin,0
solve,1,2,0.028,4,Darwin,0
solve,2,2,0.029,4,Darwin,0
solve,1,3,0.055,4,Darwin,0
solve,2,3,0.094,4,Darwin,0
solve,3,3,0.031,4,Darwin,0
solve,1,4,0.047,4,Darwin,0
solve,2,4,0.045,4,Darwin,0
